GOLDEN TICK: sum_pv=27558780228767740, sum_v=14017077, vwap=1966086098
GOLDEN TICK: sum_pv=28023970078772017, sum_v=14253702, vwap=1966083623
GOLDEN TICK: sum_pv=27571753017822946, sum_v=14023704, vwap=1966082072
GOLDEN TICK: sum_pv=26835274642853776, sum_v=13649126, vwap=1966080073
GOLDEN TICK: sum_pv=26482600969513618, sum_v=13469760, vwap=1966078160
GOLDEN TICK: sum_pv=27651943993151780, sum_v=14064533, vwap=1966076228
GOLDEN TICK: sum_pv=27835383172847983, sum_v=14157850, vwap=1966074168
GOLDEN TICK: sum_pv=27499780148290717, sum_v=13987161, vwap=1966073040
GOLDEN TICK: sum_pv=27551400167337421, sum_v=14013421, vwap=1966072393
GOLDEN TICK: sum_pv=26929407061474860, sum_v=13697065, vwap=1966071348
GOLDEN TICK: sum_pv=27029759548217813, sum_v=13748124, vwap=1966068937
GOLDEN TICK: sum_pv=27432114525873171, sum_v=13952787, vwap=1966067032
GOLDEN TICK: sum_pv=28110221249675453, sum_v=14297716, vwap=1966063757
GOLDEN TICK: sum_pv=27949399116794913, sum_v=14215934, vwap=1966061401
GOLDEN TICK: sum_pv=28260726184481875, sum_v=14374301, vwap=1966059162
GOLDEN TICK: sum_pv=27663438515539381, sum_v=14070509, vwap=1966058123
GOLDEN TICK: sum_pv=28289305885505681, sum_v=14388850, vwap=1966057460
GOLDEN TICK: sum_pv=28359216693404917, sum_v=14424410, vwap=1966057307
GOLDEN TICK: sum_pv=28846336444620722, sum_v=14672169, vwap=1966058082
GOLDEN TICK: sum_pv=28715362569053390, sum_v=14605552, vwap=1966058014
GOLDEN TICK: sum_pv=28693908126618732, sum_v=14594640, vwap=1966057958
GOLDEN TICK: sum_pv=28117515987150405, sum_v=14301477, vwap=1966056791
GOLDEN TICK: sum_pv=28467733397206947, sum_v=14479617, vwap=1966055690
GOLDEN TICK: sum_pv=29047054310030133, sum_v=14774287, vwap=1966054558
GOLDEN TICK: sum_pv=30301240370225946, sum_v=15412214, vwap=1966053700
GOLDEN TICK: sum_pv=28554242613677461, sum_v=14523644, vwap=1966052225
GOLDEN TICK: sum_pv=27477914411366108, sum_v=13976189, vwap=1966052005
GOLDEN TICK: sum_pv=28351049538957576, sum_v=14420301, vwap=1966051162
GOLDEN TICK: sum_pv=28798463150032506, sum_v=14647875, vwap=1966050580
GOLDEN TICK: sum_pv=29708682495409645, sum_v=15110848, vwap=1966049985
GOLDEN TICK: sum_pv=28257826454658917, sum_v=14372900, vwap=1966049054
GOLDEN TICK: sum_pv=28117017869950499, sum_v=14301281, vwap=1966048906
GOLDEN TICK: sum_pv=28025985476905249, sum_v=14254986, vwap=1966047913
GOLDEN TICK: sum_pv=28176070729155097, sum_v=14331342, vwap=1966045519
